"ZPay Standard","ZPay Standard"
"Title","Title"
"ZPay Payment Method","ZPay Payment Method"
"Whether if this method is enabled or not.","Whether if this method is enabled or not."
"Enabled","Enabled"
"New Order Status","New Order Status"
"Environment","Environment"
"Choose the environment: Sandbox or Production mode.","Choose the environment: Sandbox or Production mode."
"Your ZPay's account username.","Your ZPay's account username."
"ZPay Username","ZPay Username"
"ZPay Password","ZPay Password"
"Your ZPay's account password.","Your ZPay's account password."
"ZPay Contract ID","ZPay Contract ID"
"Your ZPay's account contract ID.","Your ZPay's account contract ID."
"Sort Order","Sort Order"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Production","Production"
"Sandbox","Sandbox"
"You will see a QR code to make the payment after you place the order.","You will see a QR code to make the payment after you place the order."
